Títol,Autor,Prestatge,Posicio,Habitacio,Tipus,Editorial,Idioma,Notes,
The Upper Berth,Francis Marion Crawford,16,2,Menjador,Contes,Lavanguardia,Castellà,Bilingüe Anglès,
By the Waters of Paradise,Francis Marion Crawford,16,2,Menjador,Contes,Lavanguardia,Castellà,Bilingüe Anglès,
The wit of Porportuk,Jack London,16,2,Menjador,Contes,Lavanguardia,Castellà,Bilingüe Anglès,
To Build a Fire,Jack London,16,2,Menjador,Contes,Lavanguardia,Castellà,Bilingüe Anglès,
The L 1.000.000 Bank Note,Mark Twain,16,2,Menjador,Contes,Lavanguardia,Castellà,Bilingüe Anglès,
A Dying Man's Confession,Mark Twain,16,2,Menjador,Contes,Lavanguardia,Castellà,Bilingüe Anglès,
The Canterville Gosht,Oscar Wilde,16,2,Menjador,Contes,Lavanguardia,Castellà,Bilingüe Anglès,
La petita Joia,Patrick Modiano,16,2,Menjador,Novel·la,Columna,Català,,
Como estudiar con eficacia,Chris Parsons,16,2,Menjador,Didàctic,Cincel,Castellà,,
Kanken 2,Indeterminat,16,2,Menjador,Didàctic,Japonesa,Japonès,Per examen de kanji,
Kanken 4,Indeterminat,16,2,Menjador,Didàctic,Japonesa,Japonès,Per examen de kanji,
Kanken 5,Indeterminat,16,2,Menjador,Didàctic,Japonesa,Japonès,Per examen de kanji,
Eiken 3,Indeterminat,16,2,Menjador,Didàctic,Japonesa,Japonès,Per estudi d'anglès,
Eiken 4,Indeterminat,16,2,Menjador,Didàctic,Japonesa,Japonès,Per estudi d'anglès,
Cuentos orientales,Marguerite Yourcenar,17,2,Menjador,Contes,Punto de lectura,Castellà,,
L'home que mirava passar els trens ,Simenon,17,2,Menjador,Novel·la,Edicions 62,Català,,
La guia prenatal,Irrellevants,17,2,Menjador,Didàctic,Arcadia Edizioni,Castellà,,
Deixa'm estar!,Míriam Argilés;Eulàlia Paredes;Dolors Ribera,17,2,Menjador,Didàctic,Malhivern,Català,Estratègies i propostes per a educar adolescents,
El arte de la guerra,Sun Tzu,17,2,Menjador,Didàctic,desconegut,Castellà,,
Guia pràctica per a fer fills lectors,Joan carles Girbés,17,2,Menjador,Didàctic,Bromera,Català,,
Estimada Matilda,Susanna Tamaro,17,2,Menjador,Novel·la,Empúries,Català,,
The Law ok Oeki PLUS volum 1,Tsubasa Fukuchi,17,2,Menjador,Còmic,indeterminat,Japonès,,
Detective Conan ,Indeterminat,17,2,Menjador,Còmic,indeterminat,Japonés,Special version 20,
Indeterminat,Mahou Sukai,17,2,Menjador,Còmic,indeterminat,Japonès,,
Doraemon,Indeterminat,17,2,Menjador,Còmic,Tentoumusi Books,Japonès,,
ranma,Indeterminat,17,2,Menjador,Còmic,Shonen Sunday Comics,Japonès,,
Doraemon,Indeterminat,17,2,Menjador,Còmic,indeteminat,Japonès,,
Enciclopedia d'en Mariano - Pal=las,Indeterminat,25,2,Menjador,Diccionari,Horta,Castellà,"5 idiomes Castellà, Francès, Anglès, Alemany i Italià",
Enciclopedia d'en Mariano - Historia del Arte,J.F. Ràfols,25,2,Menjador,Didàctic,Ramon Sopena,Castellà,,
Enciclopedia d'en Mariano - Historia de la Civilización,Edgar Sanderson,25,2,Menjador,Didàctic,Ramon Sopena,Castellà,Adaptació A. Herrero Miguel,
Enciclopedia d'en Mariano - Física General Aplicada,Francisco F. Sintes Olives,25,2,Menjador,Didàctic,Ramon Sopena,Castellà,,
Enciclopedia d'en Mariano - Historia Natural,Celso Arévalo,25,2,Menjador,Didàctic,Ramon Sopena,Castellà,,
Enciclopedia d'en Mariano - Química General Aplicada,Luis Postigo,25,2,Menjador,Didàctic,Ramon Sopena,Castellà,,
Enciclopedia d'en Mariano - Las Mil y Una Noches,A. Galland,25,2,Menjador,Contes,Ramon Sopena,Castellà,,
Història de Catalunya I - Prehistòria i edat antiga. Fins al segle III,Joan Maluquer de Motes,24,2,Menjador,Història,Edicions 62,Català,Dirigida per Pierre Vilar,
Història de Catalunya II - El Procés de feudalització. Segles III - XII,Josep Mª Salrach,24,2,Menjador,Història,Edicions 62,Català,Dirigida per Pierre Vilar,
Història de Catalunya III - L'expansió baixmedieval. Segles XIII - XV,Carme Batlle,24,2,Menjador,Història,Edicions 62,Català,Dirigida per Pierre Vilar,
Història de Catalunya IV - Els segles de la decadència. Segles XVI - XVIII,Núria sales,24,2,Menjador,Història,Edicions 62,Català,Dirigida per Pierre Vilar,
Història de Catalunya V - La fi de l'antic règim i la industrialització. 1787 - 1868,Josep Fontana,24,2,Menjador,Història,Edicions 62,Català,Dirigida per Pierre Vilar,
Història de Catalunya VI - De la revolució de setembre a la fi de la guerra civil. 1868 - 1939,Josep Termes,24,2,Menjador,Història,Edicions 62,Català,Dirigida per Pierre Vilar,
Història de Catalunya VII - El franquisme i la trancisió democàtica. 1939 - 1988,,24,2,Menjador,Història,Edicions 62,Català,Dirigida per Pierre Vilar,
"Història de Catalunya VIII - Antologia d'estudis històrics precedits de Catalunya, Avui de Pierre Vilar.Índex onomàstic.",,24,2,Menjador,Història,Edicions 62,Català,Dirigida per Pierre Vilar,
Narcís Oller Obres Completes I,Narcís Oller,23,2,Menjador,Novel·la,Selecta,Català,,
Narcís Oller Obres Completes II,Narcís Oller,23,2,Menjador,Novel·la,Selecta,Català,,
Intelingencia Emocional,Daniel Goleman,23,2,Menjador,assaig,Kairos,Castellà,,
Jo soc aquell que va matar Franco,Joan - Lluis Lluis,23,2,Menjador,Novel·la,Proa,Català,,
Per comprendre Catalunya Nord,Llorenç Planes,23,2,Menjador,assaig,Pagès editors,Català,,
Tamiko,Ronald Kirkbride,23,2,Menjador,Novel·la,Círculo de lectores,Castellà,,
Contes inacabats de Númenor i la terra mitjana,J.R.R.Tolkien,23,2,Menjador,Novel·la,Edhasa,Català,,
Parc Juràsic ,Michael Crichton,23,2,Menjador,Novel·la,Proa,Català,,
La persecució lingüística de la llengua catalana,Francesc Ferrer i Gironès,23,2,Menjador,Història,Edicions 62,Català,,
El mediterrani Ciutat,Xavier Febrés,23,2,Menjador,Assaig,Edicions 62,Català,,
M'explico,Carles Puigdemont,23,2,Menjador,Història,La campana,Català,,
La lluita a l'exili,Carles Puigdemont,23,2,Menjador,Història,La campana,Català,,
Crónica de una muerte anunciada,Gabriel García Marquez,23,2,Menjador,Novel·la,RBA,Castellà,,
Construcciones locativas y cuantitativas,Antonio J. Meilán García,7,1,Despatx,Didàctic,Arco,Castellà,Cuadernos de Lengua española,
Las construcciones consecutivas,Alfredo I. Álvarez,7,1,Despatx,Didàctic,Arco,Castellà,Cuadernos de Lengua española,
Los sintagmas del Español. I: el sintagma nominal.,María Jesús Fernández Leborans,7,1,Despatx,Didàctic,Arco,Castellà,Cuadernos de Lengua española,
Los sintagmas del Español. I: el sintagma nominal.,María Jesús Fernández Leborans,7,1,Despatx,Didàctic,Arco,Castellà,Cuadernos de Lengua española. Repetit,
Oraciones de relativo,José-Álvaro Porto Dapena,7,1,Despatx,Didàctic,Arco,Castellà,Cuadernos de Lengua española,
Las expresiones causales y finales,Serafina García,7,1,Despatx,Didàctic,Arco,Castellà,Cuadernos de Lengua española,
Contrucciones temporales,Hortensia Martínez García,7,1,Despatx,Didàctic,Arco,Castellà,Cuadernos de Lengua española,
La sintaxis de los relacionantes supraoracionales,Catalina Fuentes Rodríguez,7,1,Despatx,Didàctic,Arco,Castellà,Cuadernos de Lengua española,
El Español de América I,María Vaquero Ramírez,7,1,Despatx,Didàctic,Arco,Castellà,Cuadernos de Lengua española,
El Español de América II,María Vaquero Ramírez,7,1,Despatx,Didàctic,Arco,Castellà,Cuadernos de Lengua española,
Lenguas y dialectos de España,Pilar García Mouton,7,1,Despatx,Didàctic,Arco,Castellà,Cuadernos de Lengua española,
Soledades. galerías. Otros poemas,Antonio Machado,7,1,Despatx,poesia,Cátedra,Castellà,,
Don Álvaro o la fuerza del sino,Duque de Rivas,7,1,Despatx,Teatre,Cátedra,Castellà,Teatre en vers,
Màrius Torres vist per Joan Sales,Indeterminat,7,1,Despatx,Assaig,Avui,Català,Selecció de poemes i introducció per Núria Folch de Sales,
La Mortaja,Miguel Delibes,7,1,Despatx,Novel·la,Cátedra,Castellà,,
Diario de un poeta recien casado,Juan Ramon Jiménez,7,1,Despatx,poesia,Cátedra,Castellà,,
El sí de las niñas,Leandro Fernández de Moratín,7,1,Despatx,Novel·la,Cátedra,Castellà,,
Los Pazos de Ulloa,Emilia Pardo Bazán,7,1,Despatx,Novel·la,Cátedra,Castellà,,
Artículos,Mariano José de Larra,7,1,Despatx,Assaig,Cátedra,Castellà,,
Pepita Jiménez,Juan Valera,7,1,Despatx,Novel·la,Cátedra,Castellà,,
Entremeses y novelas escogidas,Miguel de Cervantes,7,1,Despatx,teatre,Club international del libro,Castellà,Novel·les: El celoso extremeño y Rinconete y Cortadillo,
Rimas,Gustavo Adolfo Bécquer,7,1,Despatx,poesia,Cátedra,Castellà,,
Rimas y leyendas ,Gustavo Adolfo Bécquer,7,1,Despatx,poesia;novel·la,Edaf,Castellà,,
El burlador de Sevilla o el convidado de piedra,Tirso de Molina (atribuida),7,1,Despatx,Teatre,Cátedra,Castellà,Teatre en vers,
Del amor y otros demonios,Gabriel García Marquez,7,1,Despatx,Novel·la,De bolsillo contemporanea,Castellà,,
Gramática de la lengua española,Emilio Alarcos Llorach,7,1,Despatx,Didàctic,Espasa Calpe,Castellà,,
El rey Lear,William Shakespeare,8,1,Despatx,Teatre,Alianza Editorial,Castellà,,
Los trabajos de Persiles y Segismunda,Miguel de Cervantes,8,1,Despatx,Novel·la,Cátedra,Castellà,,
L'expedició dels catalans a orient,Ramon Muntaner,8,1,Despatx,Història,Els nostres clàssics,Català,"Text, introducció, notes i glosari per Lluis Nicolau d'Olwer",
Introducción a Góngora,Emilio Orozco,8,2,Despatx,Didàctic,Crítica,Castellà,,
La Semántica,Pierre Guiraud,8,2,Despatx,Didàctic,Fondo de Cultura económica,Castellà,,
Poesía Española Ensayo de métodos y límites estilísticos,Dámaso Alonso,8,2,Despatx,Didàctic,Gredos,Castellà,,
Historia de la literatura española,Santos Sanz Villanueva,8,2,Despatx,Didàctic,Ariel,Castellà,,
Manual de lingüística románica,Iorgu Iordan i Maria Manoliu,8,2,Despatx,Didàctic,Gredos,Castellà,,
Manual de lingüística románica,Iorgu Iordan i Maria Manoliu,8,2,Despatx,Didàctic,Gredos,Castellà,,
Fonética histórica y fonología diacrónica,Antonio Quilis Morales,8,2,Despatx,Didàctic,Uned,Castellà,,
Literatura española del siglo de oro (guía didáctica),José Rico Verdú,8,2,Despatx,Didàctic,Uned,Castellà,,
Ortografía de la lengua española,Paula Arenas Martín-Abril,8,2,Despatx,Didàctic,Edimat,Castellà,,
Tratado de fonología y fonética españolas,Antonio Quilis Morales,8,2,Despatx,Didàctic,Gredos,Castellà,,
Filosofia,irrellevant,8,2,Despatx,Didàctic,Schaum,Català,Per aprovar Exàmens,
Teoría de la literatura,José Domínguez Caparós,8,2,Despatx,Didàctic,Ramon Areces,Castellà,,
Constitució de Catalunya (projecte),indeterminat,8,2,Despatx,Història,Reagrupament,Català,,
Pragmática lingüística (guía didáctica),Mª Victoria Escandell Vidal,8,2,Despatx,Didàctic,Uned,Castellà,,
La comunicación,Mª Victoria Escandell Vidal,8,2,Despatx,Didàctic,Gredos,Castellà,,
Guia pràctica per a escriure en català,Rafel Monjo i Segura,8,2,Despatx,Didàctic,indeterminat,Català,,
Ortografía castellana básica,indeterminat,8,2,Despatx,Didàctic,Cruïlla,Castellà,,
Introducción a los estudios sobre el discurso,Jan Rekema,8,2,Despatx,Didàctic,gedisa,Castellà,Lingüística/análisis del discurso,
Las categorías gramaticales ,Ignacio Bosque,8,2,Despatx,Didàctic,Síntesis,Castellà,Lingüística,
El comentario fonológico y fonético de textos,Antonio Quilis Morales,8,2,Despatx,Didàctic,Arco,Castellà,Teoría y práctica,
Introducción a la pragmática,Mª Victoria Escandell Vidal,8,2,Despatx,Didàctic,Ariel,Castellà,,
Estudios sobre la poesía del siglo XV,Miguel Ángel Pérez Priego,8,2,Despatx,Didàctic,Uned,Castellà,,
Estudio y edición crítica de CELOS AUN DEL AIRE MATAN de Pedro Calderón de la Barca,,8,2,Despatx,Didàctic,Uned,Castellà,,
Literatura española de los siglos XVIII y XIX,María Isabel de Castro García,8,2,Despatx,Didàctic,Uned,Castellà,,
El lenguaje ,George Yule,8,2,Despatx,Didàctic,Cambridge,Castellà,,
Curial i Güelfa,Desconegut o dubtós,8,1,Despatx,Novel·la,Laertes,Català,A cura de Jordi Tiñena,
Alcestis,Eurípides,8,2,Despatx,Teatre,Alianza Editorial,Castellà,,
Medea,Eurípides,8,2,Despatx,Teatre,Alianza Editorial,Castellà,,
Hipólito,Eurípides,8,2,Despatx,Teatre,Alianza Editorial,Castellà,,
Ayax,Sòfocles,8,2,Despatx,Teatre,Alianza Editorial,Castellà,,
Las traquinias,Sòfocles,8,2,Despatx,Teatre,Alianza Editorial,Castellà,,
Antígona,Sòfocles,8,2,Despatx,Teatre,Alianza Editorial,Castellà,,
Edipo Rey,Sòfocles,8,2,Despatx,Teatre,Alianza Editorial,Castellà,,
La galatea,Miguel de Cervantes,7,1,Despatx,Novel·la,Espasa Calpe,Castellà,,
Poesías completas II,Miguel de Cervantes,7,1,Despatx,Poesia,Castalia,Castellà,,
MIsericordia,Benito Pérez Galdós,7,1,Despatx,Novel·la,Mestas,Castellà,,
Los intereses creados,Jacinto Benavente,7,1,Despatx,Teatre,Cátedra,Castellà,,
Historia de la lengua española,Rafael Lapesa,7,1,Despatx,Didàctic,Gredos,Castellà,,
Poesías y el estudiante de Salamanca,Espronceda,7,1,Despatx,Poesia,Espasa Calpe,Castellà,,
Rondalles de Catalunya,Albert Jané ( Versió de),26,2,Menjador,Contes,Llavor,Català,Il·lustracions Pilarin Bayès,
Atlas Europa I,indeterminat,26,2,Menjador,Atlas,National Geographic,Castellà,,
El segon gran llibre dels contes,indeterminat,26,2,Menjador,Contes,Molino,Català,,
Tutankhamon,Walter M. Weiss,26,2,Menjador,Catàleg,indeterminat,Català,Exposició tomba de Tutankhamon. La tomba i els seus tresors.,
Contes del Japó,indeterminat,26,2,Menjador,Contes,Joventut,Català,Adaptació de Marià Manent,
Memorias de una Geisha,Arthur Golden,26,2,Menjador,Novel·la,Alfaguara,Castellà,,
El soborno,John Grisham,26,2,Menjador,Novel·la,Plaza y Janés,Castellà,,
Arqueología de las ciudades perdidas I,Equip editorial,26,2,Menjador,Enciclopèdia,Salvat,Castellà,Orient pròxim,
Arqueología de las ciudades perdidas II,Equip editorial,26,2,Menjador,Enciclopèdia,Salvat,Castellà,Grècia,
Arqueología de las ciudades perdidas III,Equip editorial,26,2,Menjador,Enciclopèdia,Salvat,Castellà,Occident prerromà,
Arqueología de las ciudades perdidas IV,Equip editorial,26,2,Menjador,Enciclopèdia,Salvat,Castellà,Roma i món romà I,
Arqueología de las ciudades perdidas V,Equip editorial,26,2,Menjador,Enciclopèdia,Salvat,Castellà,Roma i món romà II,
Arqueología de las ciudades perdidas VI,Equip editorial,26,2,Menjador,Enciclopèdia,Salvat,Castellà,Roma i món romà III,
Arqueología de las ciudades perdidas VII,Equip editorial,26,2,Menjador,Enciclopèdia,Salvat,Castellà,Mitjà i extrem orient,
Arqueología de las ciudades perdidas VIII,Equip editorial,26,2,Menjador,Enciclopèdia,Salvat,Castellà,Amèrica precolombina i ciutats medievals,
Mètrica comparada,José Domínguez Caparrós;Júlia Butiñá Jiménez;Patricio Urquizu Sarasua,7,2,Despatx,Didàctic,Uned,indeterminat,Són tres cassettes,
Mètrica comparada,José Domínguez Caparrós;Júlia Butiñá Jiménez;Patricio Urquizu Sarasua,7,2,Despatx,Didàctic,Uned,Castellà,Llibret,
Historia del teatro español del siglo XVII,Ignacio Arellano,7,2,Despatx,Didàctic,Cátedra,Castellà,,
Diccionari de sinònims Franquesa,Manuel Franquesa i LLuelles,7,2,Despatx,Diccionari,Enciclopèdia Catalana,Català,,
Ortografía normativa del español I,Teudiselo Chacón Berruga,7,2,Despatx,Didàctic,Uned,Castellà,,
Ortografía normativa del español II,Teudiselo Chacón Berruga,7,2,Despatx,Didàctic,Uned,Castellà,,
Nueva narrativa hispanoamericana,Donald Shaw,7,2,Despatx,Didàctic,Cátedra,Castellà,,
História de la literatura española VI,Equip editorial,7,2,Despatx,Didàctic,Ariel,Castellà,Dirigida per Jean Canavaggio,
História de la literatura española 3,José Miguel Oviedo,7,2,Despatx,Didàctic,Alianza Editorial,Castellà,,
Historia de la literatura hispanoamericana 4 De Borges al presente,José Miguel Oviedo,7,2,Despatx,Didàctic,Alianza Editorial,Castellà,,
Morfosintaxis de la lengua española,Pilar Gómez Manzano;Pilar de Vega Martínez,7,2,Despatx,Didàctic,Uned,Castellà,,
Análisis sintácticos,Equip editorial,7,2,Despatx,Didàctic,Schaum,Castellà,Per aprovar examen,
La edición de textos: poesía española contemporanea,Julio Neira,7,2,Despatx,Didàctic,Uned,Castellà,,
Introducción general a la edición del texto literario,Miguel Ángel Pérez Priego,7,2,Despatx,Didàctic,Uned,Castellà,,
Introducción general a la edición del texto literario (guía didàctica),Miguel Ángel Pérez Priego,7,2,Despatx,Didàctic,Uned,Castellà,"programa, guía didàctica",
El español de América: aproximación sincrónica,Milagros Aleza Izquierdo;José María Enguita Utrilla,7,2,Despatx,Didàctic,Tirant lo Blanch,Castellà,,
Manual de dialectología hispánica El español de España,Manuel Alvar (director),7,2,Despatx,Didàctic,Ariel,Castellà,,
Historia de los espectáculos en España,Equip editorial,7,2,Despatx,Didàctic,Castalia,Castellà,,
Fundamentos de morfología,Soledad Varela Ortega,7,2,Despatx,Didàctic,Síntesis,Castellà,,
Historia básica del arte escénico,César Oliva;Francisco Torres Monreal,7,2,Despatx,Didàctic,Cátedra,Castellà,,
Germans Grimm contes curts,Germans Grimm,27,2,Menjador,Contes,indeterminat,Japonès,,
Lluis Lach Poemes i cançons,Lluis llach,27,2,Menjador,Poesia,Tres i Quatre,Català,Amb els acords. Pròleg de Joan Fuster,
Cançons,Antoni Brugueras i Brunet,27,2,Menjador,Poesia,indeterminat,Català,Amb acords. Nova Cançó,
Cançons catalanes I,Antoni Brugueras i Brunet,27,2,Menjador,Poesia,indeterminat,Català,Amb acords. Nova Cançó,
Vent Armat,Rosa Regàs,27,2,Menjador,Novel·la,Planeta,Català,,
Com s'han de tractar els nens petits,Katehoikuen,27,2,Menjador,Didàctic,indeterminat,Japonès,,
El doctor Jivago,Boris Pasternak,27,2,Menjador,Novel·la,Noger,Castellà,De 1958. Tacat,
La historia de Murasaki,Liza Dalby,27,2,Menjador,Novel·la,Grijalbo,Castellà,,
Catalunya poble a poble,Equip editorial,27,2,Menjador,Divulgatiu,Edicions 62,Català,Abella de la conca - Artés,
Guia metropolitana i de Barcelona,indeterminat,27,2,Menjador,Consulta,indeterminat,Castellà,,
Història de Barcelona,Jaume Sobrequés i Callicó,27,2,Menjador,Història,Rosa dels vents,Català,,
Planol de Barcelona,indeterminat,27,2,Menjador,Consulta,indeterminat,Castellà,,
Diccionario Español-Portugués y Portugués Español,indeterminat,10,1,Despatx,Diccionari,Océano,Castellà,,
Les raons econòmiques per de la independència I,Joan Canadell i Bruguera; Jaume Vallcorba Tura,10,2,Despatx,Assaig,Cercle català de negocis,Català,,
Les raons econòmiques per de la independència I,Joan Canadell i Bruguera; Jaume Vallcorba Tura,10,2,Despatx,Assaig,Cercle català de negocis,Català,,
Japonés Hablado,indeterminat,10,2,Despatx,Didàctic,Imni vox,Castellà,,
Tirant lo Blanch,Joanot Martorell,10,1,Despatx,Didàctic,Edicions 62,Català,Lectura per Batxillerat ,
Tirant lo Blanch II,Joanot Martorell,10,1,Despatx,Novel·la,Seix Barral,Català,Edició original,
Tirant lo Blanch II,Joanot Martorell,10,1,Despatx,Novel·la,Seix Barral,Català,Edició original,
Introducción a la Literatura Española Guía pràctica para el comentario de texto,María Clementa Millán;Ana Suárez Miramón,10,2,Despatx,Didàctic,Uned,Castellà,Guía per comentar textes,
Incerta Glòria,Joan Sales,10,1,Despatx,Novel·la,Club editor,Català,,
El vent de nit,Joan Sales,10,1,Despatx,Novel·la,Club editor,Català,,
Sàpiens,Yuval Noah Harari,10,2,Despatx,Assaig,Edicions 62,Català,,
Volverás a región,Juan benet,10,1,Despatx,Novel·la,Destino,Castellà,,
Antología de la literatura latina,J.C.Fernández Corte;A. Moreno Fernández,10,1,Despatx,Didàctic,Alianza Editorial,Castellà,,
Portugués para dummies,Karen Keller,10,2,Despatx,Didàctic,Planeta,Castellà,,
El bilingüísme mata,Pau Vidal,10,2,Despatx,Assaig,Pòrtic,Català,,
Lingüística Aplicada,Francisco Marcos Marín;Jesús Sánchez Lobato,10,2,Despatx,Didàctic,Síntesis,Castellà,,
Literatura Hispanoamericana I (Guía didàctica),Equip editorial,10,2,Despatx,Didàctic,Uned,Castellà,,
Código Civil,indeterminat,10,1,Despatx,Dret,Tecnos,Castellà,,
Sagrada Biblia,L'esglesia catòlica,10,1,Despatx,Religió,Herder,Castellà,,
Problemas fundamentales de la gramática del español como 2/L,María Luz Gutiérrez Araus,10,2,Despatx,Didàctic,Arco,Castellà,,
Quadern de capçalera,Sei Shonagon,10,2,Despatx,Novel·la,La magrana,Català,,
Forma y sentido en sintaxis,Salvador Gutiérrez Ordóñez,10,2,Despatx,Didàctic,Arco,Castellà,,
Manual de literatura española II. Renacimiento,Felipe-B Pedraza;Milagros Rodríguez,10,2,Despatx,Didàctic,Cénlit,Castellà,,
"Manual de literatura española III. Barroco: Introducción, prosa y poesía",Felipe-B Pedraza;Milagros Rodríguez,10,2,Despatx,Didàctic,Cénlit,Castellà,,
Manual de literatura española III. Barroco: Teatro,Felipe-B Pedraza;Milagros Rodríguez,10,2,Despatx,Didàctic,Cénlit,Castellà,,
Teoría Literaria,Rene Wellek;Austin Warren,10,2,Despatx,Didàctic,Gredos,Castellà,,
Teoría de la literatura,Vítor Manuel de Aguiar e Silva,10,2,Despatx,Didàctic,Gredos,Castellà,,
Morfología Léxica: La formación de las palabras,Soledad Varela Ortega,10,2,Despatx,Didàctic,Gredos,Castellà,,
Cuestiones de Morfología española,Mario García-Page Sánchez,10,2,Despatx,Didàctic,Uned,Castellà,,
El cranc de les pinces d'or,Hergé,28,2,Menjador,Còmic,Joventut,Català,,
Els cigars del faraó,Hergé,28,2,Menjador,Còmic,Joventut,Català,,
L'afer Tornasol,Hergé,28,2,Menjador,Còmic,Joventut,Català,,
Tintín i el llac dels taurons,Hergé,28,2,Menjador,Còmic,Joventut,Català,,
Tintín al Tibet,Hergé,28,2,Menjador,Còmic,Joventut,Català,,
El secret de l'unicorni,Hergé,28,2,Menjador,Còmic,Joventut,Català,,
El tresor de Rackham el roig,Hergé,28,2,Menjador,Còmic,Joventut,Català,,
El ceptre d'Ottokar,Hergé,28,2,Menjador,Còmic,Joventut,Català,,
Vol 714 a Sidney,Hergé,28,2,Menjador,Còmic,Joventut,Català,,
Vol 714 a Sidney,Hergé,28,2,Menjador,Còmic,Joventut,Català,repetit,
Hem caminat damunt la lluna,Hergé,28,2,Menjador,Còmic,Joventut,Català,,
"Tintín i els ""picaros""",Hergé,28,2,Menjador,Còmic,Joventut,Català,,
Objectiu: la Luna,Hergé,28,2,Menjador,Còmic,Joventut,Català,,
L'estel misteriós,Hergé,28,2,Menjador,Còmic,Joventut,Català,,
L'orella escapçada,Hergé,28,2,Menjador,Còmic,Joventut,Català,,
Stoc de coc,Hergé,28,2,Menjador,Còmic,Joventut,Català,,
Les 7 boles de cristall,Hergé,28,2,Menjador,Còmic,Joventut,Català,,
L'illa negra,Hergé,28,2,Menjador,Còmic,Joventut,Català,,
Tot Dalí,Lluis Llongueras,28,2,Menjador,Biografia,Pòrtic,Castellà,,
Gaudí,indeterminat,28,2,Menjador,Biografia,Salvat,Castellà,,
De la gent gran,Equip editorial,28,2,Menjador,Assaig,Kairos,Castellà,,
Las sociedad civil catalana,Toni Rodríguez Pujol,28,2,Menjador,Història,Biblioteca de la Vanguardia,Castellà,,
Cataluña en la guerra civil española,Equip editorial,28,2,Menjador,Història,Biblioteca de la Vanguardia,Castellà,,
El antiguo México,Hanns J. Prem;Ursula Dyckerhoff,28,2,Menjador,Divulgatiu,Plaza y Janés,Castellà,,
Contes d'Anderssen,Anderssen,28,2,Menjador,Contes,indeterminat,Japonès,,
Faules d'Isop,indeterminat,28,2,Menjador,Contes,indeterminat,Japonès,,
Jack i l'arbre de les mongetes,indeterminat,28,2,Menjador,Contes,indeterminat,Japonès,,
Contes populars japonesos,indeterminat,28,2,Menjador,Contes,indeterminat,Japonès,,
Contes populars famosos de tot el món,indeterminat,28,2,Menjador,Contes,indeterminat,Japonès,,
Peter Pan,James Mattheu Barrie,28,2,Menjador,Contes,indeterminat,Japonès,,
Història dels tibetans,Josep LLuís Alay,9,2,Despatx,Història,Pagès,Català,,
Sintaxis latina,Eduardo Valentí Fiol,9,2,Despatx,Didàctic,Bosch,Castellà,,
Latín 3,Santiago Segura Munguía,9,2,Despatx,Didàctic,Anaya,Castellà,,
Aurea Roma,Eduardo Valentí Fiol,9,2,Despatx,Didàctic,Bosch,Castellà,,
Vocabulario básico Lengua latina,J. Echave Sustaeta,9,2,Despatx,Diccionari,Cefiso,Castellà,,
Lengua y literatura latinas I,Antonio Moreno Hernández;Leticia Carrasco Reija,9,2,Despatx,Didàctic,Uned,Castellà,,
Retórica (guía didáctica),José Jiménez Oliva,9,2,Despatx,Didàctic,Uned,Castellà,,
Introducción a la Filología Románica (guía didáctica),María Paz Aguado Boto;Rafael Rodríguez María,9,2,Despatx,Didàctic,Uned,Castellà,,
Teoría de la literatura (guía didáctica),Francisco Abad Nebot,9,2,Despatx,Didàctic,Uned,Castellà,,
Introducción a la Historia de la lengua española (guía didáctica),Francisco Abad Nebot,9,2,Despatx,Didàctic,Uned,Castellà,,
Literatura española medieval (guía didáctica),Nieves Baranda Leturio;M.ª Luisa Lanzuelo Corella;Esther Sampedro Heras,9,2,Despatx,Didàctic,Uned,Castellà,,
Lengua Italiana (guía didáctica),M.ª Teresa Navarro Salazar;Conchita Turina Gómez;Marian Sanfilippo,9,2,Despatx,Didàctic,Uned,Castellà,,
Lingüística (guía didáctica),Antonio Domínguez Rey;Juana Gil Fernández;Pilar Ruiz-Va Palacios,9,2,Despatx,Didàctic,Uned,Castellà,,
Cultura Grecolatina: Roma (I),Antonio Moreno Hernández,9,2,Despatx,Didàctic,Uned,Castellà,,
historia de la literatura española edad media Vol I,Jesús Menéndez Peláez,9,2,Despatx,Didàctic,Everest,Castellà,,
Garcilaso de la Vega Obras completas con comentario,Elias L. Rivers,9,2,Despatx,Didàctic,Castalia,Castellà,,
Lexicografía Española,Antonia M. Medina Guerra,9,2,Despatx,Didàctic,Ariel lingüística,Castellà,,
La prosa y el teatro medievales,Nieves Baranda Leturio,9,2,Despatx,Didàctic,Uned,Castellà,,
Ejercicios de gramática y de expresión 2004 (con nociones teóricas),Pilar Gómez Manzano,9,2,Despatx,Didàctic,Uned,Castellà,segona edició de 2004,
Ejercicios de gramática y de expresión 2009 (con nociones teóricas),Pilar Gómez Manzano,9,2,Despatx,Didàctic,Uned,Castellà,"segona edició repetit, però de 2009",
Nueva gramática básica de la lengua española,Real academia española,9,2,Despatx,Didàctic,Real academia española,Castellà,,
Diccionario de sinónimos y antónimos ideas afines y parónimos,Equip editorial,9,2,Despatx,Diccionari,Sopena,Castellà,,
Diccionari de la mitologia grega i romana,Jordi Parramon Blasco,9,2,Despatx,Diccionari,Edicions 62,Català,,
"Japón, viaje por su vida y su belleza",José María Carandell,29,2,Menjador,Divulgatiu,Castell,Castellà,,
