Títol,Autor,Prestatge,Posicio,Habitacio,Tipus,Editorial,Idioma,Notes,
Poesies,Ausiàs March,4,1,Despatx,Poesia,Barcino,Català,,
Literatura Española (1936 - 2000),Lucía Montejo Gurruchaga,4,1,Despatx,didàctic,Uned,Castellà,,
El último tercio del siglo (1968-1998),Recopilació ,4,1,Despatx,didàctic,Visor,Castellà,Antología consultada de la poesía española ,
Literatura española (1900-1939),vicente Granados Palomares,4,1,Despatx,didàctic,Ramón Areces,Castellà,Uned,
Historia de la literatura española parte primera,Juan Luis Alborg,4,1,Despatx,didàctic,Gredos,Castellà,Realismo y naturalismo. La novela.,
Historia de la literatura hispanoamericana,José Miguel Oviedo,4,1,Despatx,didàctic,Alianza Editorial,Castellà, º    ,
Historia de la literatura hispanoamericana,José Miguel Oviedo,4,1,Despatx,didàctic,Alianza Editorial,Castellà,2. Del Romanticismo al Modernismo.,
Nueva historia de la literatura hispanoamericana,Giuseppe Bellini,4,1,Despatx,didàctic,Castalia,Castellà,,
Reinos desaparecidos,Norman Davies,4,1,Despatx,divulgatiu,Galaxia Gutenberg,Castellà,,
Diccionari visual Duden,Enciclopedia Catalana,3,1,Despatx,Diccionari,Enciclopèdia,Català,,
Diccionari ortogràfic i de pronúncia,Enciclopedia Catalana,3,1,Despatx,Diccionari,Enciclopèdia,Català,,
Institució Oratòria VIII,M. Fabi Quintilià,3,1,Despatx,Retòrica,Fundació Bernat Metge,Català;Llatí ,,
Institució Oratòria IX,M. Fabi Quintilià,3,1,Despatx,Retòrica,Fundació Bernat Metge,Català;Llatí ,,
Institució Oratòria X,M. Fabi Quintilià,3,1,Despatx,Retòrica,Fundació Bernat Metge,Català;Llatí ,,
Tragèdia de Caldesa i altres proses,Joan Rois de Corella,3,1,Despatx,Novel·la,Edicions 62,Català,,
El Castell dels tres dragons,Frederic soler,3,1,Despatx,Teatre,Edicions 62,Català,,
La Dida,Frederic soler,3,1,Despatx,Teatre,Edicions 62,Català,,
Batalla de reines,Frederic soler,3,1,Despatx,Teatre,Edicions 62,Català,,
Les millors llegendes populars,Joan Amades,3,1,Despatx,Llegenda,La butxaca,Català,,
Glosari,Eugeni d'Ors,3,1,Despatx,Articles,Edicions 62,Català,,
L'hostal de la glòria,Josep Maria de Segarra,3,1,Despatx,Teatre,Edicions 62,Català,,
El cafè de la marina,Josep Maria de Segarra,3,1,Despatx,Teatre,Edicions 62,Català,,
La fortuna de Sílvia,Josep Maria de Segarra,3,1,Despatx,Teatre,Edicions 62,Català,,
Cancionero I,Francesco de Petrarca,3,1,Despatx,Poesia,Catedra,Italià;Castellà,,
La de Bringas,Benito Pérez Galdós,3,2,Despatx,Novel·la,Catedra,Castellà,,
El público,Federico García Lorca,3,2,Despatx,Teatre,Catedra,Castellà,,
Milagros de Nuestra Señora,Gonzalo de Berceo,3,2,Despatx,Poesia,Castalia didáctica,Castellà,,
Libro de Buen Amor,Arcipreste de Hita,3,2,Despatx,Poesia,Castalia didáctica,Castellà,,
Libro del Conde Lucanor,Don Juan Manuel,3,2,Despatx,Novel·la,Castalia didáctica,Castellà,,
Cantar del Mio Cid,Anònim,3,2,Despatx,Poesia,Castalia didáctica,Castellà,,
Poesía de la edad de oro I,Recopilació ,3,2,Despatx,Poesia,Castalia,Castellà,Renacimiento (edició José Manuel Blecua),
La vida del lazarillo de Tormes,Anònim,3,2,Despatx,Novel·la,Castalia,Castellà,,
Novelas ejemplares III,MIguel de Cervantes,3,2,Despatx,Novel·la,Castalia,Castellà,,
